t,t_sec,p_base_x,p_base_y,p_base_z,q_base_x,q_base_y,q_base_z,q_base_w,v_base_x,v_base_y,v_base_z,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11
3.300000000000000000e+01,1.650000000000000078e-01,-1.301984845506412691e+00,-2.906248715199777344e-01,6.009016591585024658e-01,2.143791319769614793e-03,7.393199895032298748e-03,-8.610806818470709834e-01,5.128521230685876287e-01,3.186529489026039830e-01,6.640276234639600483e-01,-2.198516075974783074e-02,-7.637449999999999795e-02,6.648920000000000385e-01,-1.403550000000000075e+00,8.416239999999999832e-02,9.894180000000000197e-01,-1.837309999999999999e+00,-1.354480000000000128e-01,1.035840000000000094e+00,-1.883860000000000090e+00,5.332060000000000272e-02,6.798480000000000079e-01,-1.353799999999999892e+00
3.400000000000000000e+01,1.700000000000000122e-01,-1.300393408374089343e+00,-2.872954618491393441e-01,6.007886636273405134e-01,2.328597568558228234e-03,7.409698412116698558e-03,-8.611215345546027189e-01,5.127824809421793750e-01,3.179196006831674359e-01,6.677345368771675505e-01,-2.321295075610185776e-02,-7.606480000000000186e-02,6.560869999999999758e-01,-1.403380000000000072e+00,8.155170000000000474e-02,1.019819999999999949e+00,-1.827509999999999968e+00,-1.313769999999999938e-01,1.061460000000000070e+00,-1.873280000000000056e+00,5.314359999999999917e-02,6.709100000000000064e-01,-1.353660000000000085e+00
3.500000000000000000e+01,1.750000000000000167e-01,-1.298791938006376601e+00,-2.839461215252747639e-01,6.006597778043379909e-01,2.591457753189476635e-03,7.438285187962737598e-03,-8.611570217841884034e-01,5.127212070161015767e-01,3.226655462048356182e-01,6.719991530322777518e-01,-2.834081732516659236e-02,-7.584359999999999713e-02,6.501130000000000519e-01,-1.403319999999999901e+00,7.951629999999999809e-02,1.038180000000000103e+00,-1.819360000000000088e+00,-1.286770000000000136e-01,1.076009999999999911e+00,-1.864500000000000046e+00,5.296660000000000257e-02,6.647149999999999448e-01,-1.353550000000000031e+00
3.600000000000000000e+01,1.799999999999999933e-01,-1.297168418824185210e+00,-2.805760849966383308e-01,6.004991274831416037e-01,2.794250727426190756e-03,7.538974503045321046e-03,-8.611723140931796250e-01,5.126929856140007846e-01,3.267404622029954631e-01,6.760127845370823563e-01,-3.591888717251885688e-02,-7.548960000000000392e-02,6.413510000000000044e-01,-1.403210000000000068e+00,7.650730000000000031e-02,1.060789999999999900e+00,-1.804720000000000102e+00,-1.234559999999999963e-01,1.095040000000000013e+00,-1.848440000000000083e+00,5.265679999999999666e-02,6.555109999999999548e-01,-1.353350000000000053e+00
3.700000000000000000e+01,1.849999999999999978e-01,-1.295530755240181797e+00,-2.771902961052918890e-01,6.003322262858555858e-01,3.059224772372174175e-03,7.461191607922482150e-03,-8.612304350689432564e-01,5.125949721823517269e-01,3.283202274862503378e-01,6.783014784538448083e-01,-3.084139610286200373e-02,-7.535680000000000156e-02,6.351569999999999716e-01,-1.403149999999999897e+00,7.394080000000000097e-02,1.073579999999999979e+00,-1.793619999999999992e+00,-1.197830000000000006e-01,1.105969999999999898e+00,-1.836300000000000043e+00,5.247980000000000006e-02,6.494050000000000100e-01,-1.353210000000000024e+00
3.800000000000000000e+01,1.900000000000000022e-01,-1.293884322176904522e+00,-2.737931319985721368e-01,6.001798599281412683e-01,3.310338851711645131e-03,7.451587224203468258e-03,-8.612620272160345092e-01,5.125404686581722657e-01,3.302493722634783357e-01,6.805621316263101850e-01,-3.010491175544486447e-02,-7.517980000000000496e-02,6.260850000000000026e-01,-1.402979999999999894e+00,6.982560000000000155e-02,1.088889999999999914e+00,-1.774820000000000064e+00,-1.146500000000000019e-01,1.118139999999999912e+00,-1.816270000000000051e+00,5.234710000000000057e-02,6.400679999999999703e-01,-1.352810000000000068e+00
3.900000000000000000e+01,1.950000000000000067e-01,-1.292228804124618824e+00,-2.703834265118427171e-01,6.000245390907437137e-01,3.488454087103646552e-03,7.416305829681365050e-03,-8.612757139411325591e-01,5.125167994351016443e-01,3.319551723996971293e-01,6.833190968604615501e-01,-3.202326678604269089e-02,-7.535680000000000156e-02,6.198019999999999641e-01,-1.402830000000000021e+00,6.703789999999999749e-02,1.096060000000000034e+00,-1.761160000000000059e+00,-1.108009999999999967e-01,1.123709999999999987e+00,-1.801260000000000083e+00,5.247980000000000006e-02,6.339620000000000255e-01,-1.352500000000000036e+00
4.000000000000000000e+01,2.000000000000000111e-01,-1.290562338240930806e+00,-2.669569757434421264e-01,5.998748937260203196e-01,3.730901100601106881e-03,7.364488084858345808e-03,-8.613121067538633824e-01,5.124546765164037510e-01,3.346270995441947838e-01,6.872597396438696604e-01,-2.783456402609741157e-02,-7.540109999999999868e-02,6.102440000000000087e-01,-1.402579999999999938e+00,6.252449999999999675e-02,1.103849999999999998e+00,-1.738510000000000000e+00,-1.049149999999999944e-01,1.129329999999999945e+00,-1.777840000000000087e+00,5.252409999999999718e-02,6.249789999999999512e-01,-1.351820000000000022e+00
4.100000000000000000e+01,2.050000000000000155e-01,-1.288885594582552585e+00,-2.635167228021156327e-01,5.997324880046577267e-01,3.889430842393977201e-03,7.299521305032124346e-03,-8.613386313148351237e-01,5.124098433414516762e-01,3.360676831984154012e-01,6.888410158791239413e-01,-2.912762620721967566e-02,-7.548960000000000392e-02,6.040489999999999471e-01,-1.402290000000000036e+00,5.964830000000000132e-02,1.106680000000000108e+00,-1.722739999999999938e+00,-1.011539999999999939e-01,1.130929999999999991e+00,-1.761390000000000011e+00,5.252409999999999718e-02,6.186960000000000237e-01,-1.351280000000000037e+00
4.200000000000000000e+01,2.099999999999999922e-01,-1.287203205389281235e+00,-2.600737924639581755e-01,5.995788795131611337e-01,3.973426457778221968e-03,7.326536512459531220e-03,-8.613586811997723247e-01,5.123751087814377714e-01,3.368870859458718003e-01,6.883301012634694960e-01,-3.231576104601962401e-02,-7.540109999999999868e-02,5.977219999999999756e-01,-1.401799999999999935e+00,5.686050000000000132e-02,1.107210000000000027e+00,-1.705699999999999994e+00,-9.726029999999999398e-02,1.130840000000000067e+00,-1.744410000000000016e+00,5.247980000000000006e-02,6.123239999999999794e-01,-1.350689999999999946e+00
